ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000005020,534.7838801,-0.064835237,0.072430115,-0.895141984,0.370711193,0.514954628
ENSG00000005022,8320.928713,0.403176857,0.072610369,5.552607163,2.81E-08,1.34E-07
ENSG00000005059,524.0776102,-0.022335538,0.066618616,-0.335274725,0.737417858,0.829534567
ENSG00000005075,1381.811411,0.19289705,0.068814696,2.803137432,0.00506081,0.01261001
ENSG00000005100,506.1132836,0.495367366,0.062528997,7.922202371,2.33E-15,1.86E-14
ENSG00000005156,1110.496266,0.279997249,0.051574284,5.429008929,5.67E-08,2.62E-07
ENSG00000005175,1557.865395,0.51729811,0.054824818,9.435473293,3.89E-21,4.27E-20
ENSG00000005187,126.8857895,0.803725493,0.122874736,6.541015025,6.11E-11,3.62E-10
ENSG00000005189,439.9384638,0.616962559,0.06715735,9.186821142,4.05E-20,4.17E-19
ENSG00000005194,739.7507961,0.052298927,0.07147933,0.73166505,0.464373033,0.607163902
ENSG00000005206,860.0581493,0.012977257,0.098454233,0.131810048,0.895134538,0.93407121
ENSG00000005238,81.66020155,-0.529069226,0.1472828,-3.592199684,0.000327898,0.00099605
ENSG00000005243,43.54497824,-0.607447559,0.17513555,-3.468442363,0.000523485,0.001538794
ENSG00000005249,691.0046062,0.279489947,0.072294828,3.865974311,0.000110647,0.000358799
ENSG00000005302,300.6319204,-0.161163564,0.083510219,-1.929866391,0.053623395,0.104954624
ENSG00000005339,702.8225468,-0.110428516,0.060809973,-1.815960605,0.069376415,0.131166979
ENSG00000005436,435.3984612,0.642149501,0.069012316,9.304853679,1.34E-20,1.42E-19
ENSG00000005448,456.7073414,-0.03910066,0.073650002,-0.530898285,0.595489266,0.721180495
ENSG00000005469,433.2764342,-0.759777522,0.063557826,-11.95411441,6.18E-33,1.07E-31
ENSG00000005471,35.24951766,-1.357427635,0.190084423,-7.14118291,9.25E-13,6.22E-12
ENSG00000005483,1123.511808,-0.186044532,0.057992187,-3.20809652,0.001336166,0.003681763
ENSG00000005486,671.4206434,-0.251848045,0.075078969,-3.354441959,0.000795252,0.002271723
ENSG00000005700,2137.218235,0.47697636,0.046398529,10.27998889,8.67E-25,1.11E-23
ENSG00000005801,529.5926393,0.159281256,0.061580651,2.586547125,0.009694291,0.02286656
ENSG00000005810,1064.688011,-0.104134325,0.050992363,-2.042155315,0.041136127,0.08334657
ENSG00000005812,1075.994266,-0.143582265,0.056145814,-2.557310219,0.01054851,0.024711351
ENSG00000005882,239.4680562,-0.328376919,0.094773125,-3.464873829,0.00053048,0.001557353
ENSG00000005884,1173.435157,-0.446315107,0.052172811,-8.554553617,1.18E-17,1.07E-16
ENSG00000005889,1424.372985,-0.205459458,0.043750779,-4.696132555,2.65E-06,1.03E-05
ENSG00000005893,3276.8085,0.3235763,0.064230243,5.037756096,4.71E-07,1.99E-06
ENSG00000005961,151.4912762,0.80257806,0.137574806,5.833757505,5.42E-09,2.76E-08
ENSG00000006007,2923.09297,-0.063810418,0.060336973,-1.057567441,0.290252693,0.428787088
ENSG00000006015,511.7017762,-0.432111298,0.080234907,-5.385577364,7.22E-08,3.31E-07
ENSG00000006016,237.7169144,0.310809528,0.089477552,3.473603407,0.000513519,0.001512095
ENSG00000006025,388.9217253,-1.111909183,0.121520934,-9.149939404,5.70E-20,5.84E-19
ENSG00000006047,590.9687759,0.517474554,0.075660174,6.839457621,7.95E-12,4.99E-11
ENSG00000006062,135.6438053,0.294956107,0.121750379,2.422629882,0.015408617,0.034731471
ENSG00000006071,36.3396972,0.016854481,0.183962061,0.091619328,0.927000494,0.957383078
